event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
0,1,104,0.294,-12.824,20.346,-0.474,0.154,-0.867,71.858,1.000,101.904,281.164,6.939
0,1,105,-0.113,-12.692,19.600,-0.698,-0.244,-0.673,63.739,1.000,102.904,277.739,3.425
0,1,106,-0.712,-12.901,19.023,-0.508,-0.429,-0.747,78.757,1.000,103.904,270.381,7.358
0,1,107,-1.145,-13.266,18.387,-0.711,-0.190,-0.678,62.040,1.000,104.904,265.111,5.270
0,1,108,-1.747,-13.426,17.812,-0.297,-0.423,-0.856,91.308,1.000,105.904,260.628,4.483
0,1,109,-1.998,-13.784,17.090,0.942,0.335,-0.003,141.285,1.000,106.904,251.000,9.629
0,1,110,-1.210,-13.504,17.087,0.729,0.613,0.305,115.806,1.000,107.904,248.070,2.930
0,1,111,-0.603,-12.993,17.342,-0.004,0.963,0.270,69.798,1.000,108.904,243.458,4.612
0,1,112,-0.607,-12.195,17.566,0.526,0.794,0.305,101.122,1.000,109.904,237.404,6.053
0,1,113,-0.174,-11.542,17.817,0.029,0.889,-0.458,81.709,1.000,110.904,231.000,6.405
0,1,114,-0.150,-10.819,17.445,-0.552,0.779,-0.297,46.677,1.000,111.904,223.239,7.761
0,1,115,-0.594,-10.191,17.206,-0.306,0.946,-0.110,57.003,1.000,112.904,218.026,5.213
0,1,116,-0.839,-9.437,17.118,-0.376,0.439,0.816,49.685,1.000,113.904,211.738,6.287
0,1,117,-1.136,-9.090,17.763,-0.221,0.805,0.550,56.101,1.000,114.904,206.216,5.522
0,1,118,-1.309,-8.459,18.193,0.534,-0.255,-0.806,137.525,1.000,115.904,201.795,4.421
0,1,119,-0.895,-8.658,17.568,0.845,-0.148,-0.515,159.459,1.000,116.904,195.156,6.639
0,1,120,-0.248,-8.771,17.173,0.920,-0.237,-0.312,172.822,1.000,117.904,183.197,11.959
0,1,121,0.437,-8.948,16.941,0.559,0.441,0.702,104.333,1.000,118.904,168.418,14.779
0,1,122,0.838,-8.632,17.444,-0.621,0.394,-0.677,55.994,1.000,119.904,153.687,14.731
0,1,123,0.414,-8.364,16.982,-0.953,-0.301,-0.047,37.849,1.000,120.904,149.955,3.732
0,1,124,-0.225,-8.565,16.951,0.280,-0.423,0.862,102.233,1.000,121.904,138.763,11.192
0,1,125,-0.046,-8.835,17.501,-0.289,-0.202,0.936,66.439,1.000,122.904,126.231,12.532
0,1,126,-0.218,-8.956,18.059,-0.526,-0.129,0.840,51.438,1.000,123.904,112.259,13.972
0,1,127,-0.502,-9.026,18.512,0.315,-0.522,0.793,106.715,1.000,124.904,101.765,10.494
0,1,128,-0.348,-9.282,18.901,0.517,-0.786,0.338,130.357,1.000,125.904,95.247,6.518
0,1,129,-0.115,-9.635,19.053,0.622,-0.726,-0.293,148.823,0.951,126.855,82.939,12.308
0,1,130,0.107,-9.895,18.948,-0.368,0.238,-0.899,76.633,0.758,127.613,75.985,6.954
0,1,131,-0.007,-9.821,18.669,-0.111,-0.137,0.984,74.779,0.657,128.269,61.794,14.191
0,1,132,-0.031,-9.852,18.887,-0.987,0.162,0.022,13.354,0.468,128.738,57.123,4.671
0,1,133,-0.223,-9.820,18.891,-0.338,-0.787,-0.516,91.368,0.412,129.150,46.179,10.944
0,1,134,-0.270,-9.929,18.820,0.015,-0.937,0.348,102.813,0.293,129.442,30.999,15.180
0,1,135,-0.269,-9.997,18.846,-0.876,-0.480,0.045,46.841,0.157,129.599,28.825,2.174
0,1,136,-0.325,-10.028,18.848,0.158,0.970,-0.183,84.027,0.140,129.740,24.799,4.026
0,1,137,-0.317,-9.978,18.839,0.725,0.553,-0.410,126.523,0.112,129.852,22.927,1.872
0,1,138,-0.285,-9.953,18.821,0.926,-0.362,0.110,161.587,0.100,129.952,20.930,1.997
0,1,139,-0.249,-9.967,18.825,0.655,-0.707,-0.268,151.090,0.088,130.040,14.792,6.138
0,1,140,-0.233,-9.984,18.819,0.493,-0.868,-0.064,136.961,0.056,130.096,14.278,0.514
0,1,141,-0.223,-10.003,18.817,-0.805,-0.188,-0.563,54.491,0.053,130.149,13.024,1.254
0,1,142,-0.238,-10.006,18.807,0.565,-0.663,0.491,128.637,0.048,130.197,10.411,2.613
0,1,143,-0.230,-10.015,18.813,0.699,-0.713,-0.049,150.959,0.038,130.235,9.591,0.820
0,1,144,-0.222,-10.024,18.813,0.470,-0.102,-0.877,130.317,0.035,130.270,4.959,4.632
0,1,145,-0.220,-10.025,18.809,-0.980,-0.195,0.030,30.387,0.020,130.290,4.526,0.433
0,1,146,-0.224,-10.025,18.809,0.291,0.927,0.235,87.002,0.019,130.309,2.153,2.373
0,1,147,-0.223,-10.024,18.809,0.291,0.927,0.235,87.002,0.009,130.318,0.000,2.153
0,3,2,-5.204,-15.026,17.976,0.857,0.134,-0.498,32.936,1.000,1.006,94.482,14.622
0,3,3,-4.824,-14.967,17.755,0.248,0.920,-0.304,73.089,0.938,1.944,73.140,21.342
0,3,4,-4.752,-14.699,17.666,-0.174,0.877,0.448,124.193,0.617,2.561,60.023,13.118
0,3,5,-4.788,-14.513,17.761,-0.357,0.405,0.842,160.869,0.447,3.007,52.199,7.824
0,3,6,-4.848,-14.445,17.902,-0.288,0.640,0.713,145.387,0.356,3.364,47.583,4.616
0,3,7,-4.890,-14.353,18.005,0.604,0.782,-0.151,69.611,0.307,3.671,36.123,11.460
0,3,8,-4.834,-14.280,17.991,0.704,-0.200,-0.681,17.011,0.198,3.869,30.450,5.673
0,3,9,-4.784,-14.294,17.943,-0.486,-0.076,0.871,169.770,0.153,4.022,24.783,5.666
0,3,10,-4.809,-14.298,17.988,0.552,0.680,-0.483,51.694,0.112,4.134,24.469,0.315
0,3,11,-4.782,-14.264,17.963,0.407,-0.913,0.040,74.945,0.110,4.244,18.701,5.768
0,3,12,-4.768,-14.294,17.965,-0.347,-0.918,-0.194,84.842,0.076,4.320,17.076,1.626
0,3,13,-4.778,-14.321,17.959,-0.925,-0.151,-0.348,98.059,0.067,4.387,13.635,3.441
0,3,14,-4.797,-14.324,17.952,-0.614,-0.347,0.709,151.619,0.051,4.437,13.202,0.433
0,3,15,-4.809,-14.330,17.966,0.497,-0.602,-0.625,32.161,0.049,4.486,8.188,5.014
0,3,16,-4.804,-14.336,17.960,-0.335,0.502,0.798,154.893,0.030,4.516,5.601,2.587
0,3,17,-4.806,-14.334,17.964,-0.713,0.652,-0.258,101.266,0.022,4.538,4.269,1.332
0,3,18,-4.809,-14.331,17.963,-0.375,0.924,-0.077,102.305,0.018,4.556,2.027,2.242
0,3,19,-4.809,-14.330,17.963,-0.375,0.924,-0.077,102.305,0.009,4.565,0.000,2.027
0,2,1,-0.854,0.248,0.196,-0.838,0.015,0.546,0.000,0.057,0.057,0.000,0.127
0,12,1,-0.854,0.248,0.196,0.382,0.529,-0.758,63.940,0.000,0.000,0.000,0.046
0,11,1,-0.854,0.248,0.196,-0.136,0.933,-0.334,83.043,0.000,0.000,0.000,0.044
0,10,1,-0.854,0.248,0.196,-0.626,0.705,0.334,62.383,0.000,0.000,0.000,0.021
0,9,1,-0.854,0.248,0.196,-0.807,0.507,0.303,166.011,0.000,0.000,0.000,0.047
0,8,1,-0.854,0.248,0.196,-0.548,-0.836,0.010,0.000,0.000,0.000,0.542,0.000
0,8,2,-0.854,0.248,0.196,-0.548,-0.836,0.010,0.000,0.001,0.001,0.000,0.542
0,7,1,-0.854,0.248,0.196,-0.571,0.196,-0.797,49.888,0.000,0.000,0.000,0.071
0,6,1,-0.854,0.248,0.196,-0.753,-0.388,0.532,0.000,0.000,0.000,0.000,0.002
0,5,1,-0.854,0.248,0.196,-0.568,-0.700,-0.434,0.000,0.000,0.000,0.222,0.000
0,5,2,-0.854,0.248,0.196,-0.568,-0.700,-0.434,0.000,0.001,0.001,0.000,0.222
0,4,1,-0.854,0.248,0.196,-0.821,0.569,0.054,0.000,0.000,0.000,2.493,0.002
0,4,2,-0.855,0.249,0.196,-0.496,0.721,0.485,32.587,0.011,0.011,0.522,1.971
0,4,3,-0.855,0.249,0.196,-0.496,0.721,0.485,32.587,0.001,0.013,0.000,0.522
1,1,0,0.000,0.000,0.000,-0.670,0.278,-0.689,0.000,0.000,0.000,1000.000,0.000
1,1,1,-0.099,0.043,-0.116,-0.584,0.226,-0.780,7.786,0.158,0.158,999.386,0.614
1,1,2,-0.669,0.264,-0.878,-0.534,0.230,-0.814,10.971,1.000,1.158,994.218,5.169
1,1,3,-1.191,0.488,-1.673,-0.469,-0.220,-0.855,32.683,1.000,2.158,990.093,4.125
1,1,4,-1.649,0.273,-2.508,-0.335,-0.302,-0.893,41.006,1.000,3.158,985.395,4.698
